name,category,unit,defaultShelfLifeDays,storageCondition,perishability,costPerUnit,recommendedDishes
Turmeric Powder,Vegetarian,kg,365,Dry,Low,40.0,Curry
Chili Powder,Vegetarian,kg,365,Dry,Low,45.0,Curry
Coriander Powder,Vegetarian,kg,365,Dry,Low,35.0,Curry
Cardamom,Vegetarian,kg,365,Dry,Low,60.0,"Rice, Tea"
Apple,Vegetarian,kg,14,Cool,Medium,80.0,"Salad, Dessert"
Banana,Vegetarian,kg,7,Cool,High,40.0,"Smoothie, Dessert"
Orange,Vegetarian,kg,14,Cool,Medium,50.0,"Juice, Salad"
Mango,Vegetarian,kg,7,Fridge,High,120.0,"Dessert, Smoothie"
Bread,Vegetarian,loaf,7,Cool,Medium,30.0,"Sandwich, Toast"
Pasta,Vegetarian,kg,30,Dry,Low,50.0,"Pasta, Salad"
Noodles,Vegetarian,kg,30,Dry,Low,60.0,"Stir Fry, Soup"
Lentils,Vegetarian,kg,365,Dry,Low,80.0,"Dal, Curry"
Chickpeas,Vegetarian,kg,365,Dry,Low,70.0,"Curry, Hummus"
Mutton Chops,Non-Vegetarian,kg,2,Fridge,High,450.0,"Curry, Grill"
Pork Belly,Non-Vegetarian,kg,2,Fridge,High,500.0,"Roast, Fry"
Sausage,Non-Vegetarian,kg,7,Fridge,Medium,200.0,"Grill, Fry"
Bacon,Non-Vegetarian,kg,7,Fridge,Medium,250.0,"Breakfast, Pasta"
Paneer,Dairy,kg,14,Fridge,Medium,300.0,"Curry, Grill"
Tofu,Vegetarian,kg,30,Fridge,Medium,100.0,"Stir Fry, Soup"
Mushrooms,Vegetarian,kg,7,Cool,High,150.0,"Stir Fry, Soup"
Bell Pepper,Vegetarian,kg,14,Cool,Medium,30.0,"Stir Fry, Salad"
Broccoli,Vegetarian,kg,7,Fridge,High,25.0,"Stir Fry, Soup"
Cauliflower,Vegetarian,kg,14,Cool,Medium,20.0,"Stir Fry, Curry"
Honey,Vegetarian,kg,365,Cool,Low,200.0,"Dessert, Tea"
Vinegar,Vegetarian,liter,365,Cool,Low,50.0,"Salad, Pickle"
Soy Sauce,Vegetarian,liter,365,Cool,Low,80.0,"Stir Fry, Marinade"
Tomato Ketchup,Vegetarian,liter,365,Cool,Low,40.0,"Fry, Sauce"
Mayonnaise,Vegetarian,kg,180,Cool,Low,100.0,"Sandwich, Salad"
Coffee Beans,Vegetarian,kg,365,Dry,Low,300.0,"Coffee, Dessert"
Tea Leaves,Vegetarian,kg,365,Dry,Low,200.0,"Tea, Dessert"
Cocoa Powder,Vegetarian,kg,365,Dry,Low,150.0,"Dessert, Drink"
Quinoa,Vegetarian,kg,365,Dry,Low,200.0,"Salad, Pilaf"
Oats,Vegetarian,kg,365,Dry,Low,60.0,"Porridge, Cookies"
Olive Oil,Vegetarian,liter,365,Cool,Low,500.0,"Salad Dressing, Saute"
Coconut Oil,Vegetarian,liter,365,Cool,Low,300.0,"Fry, Curry"
Balsamic Vinegar,Vegetarian,liter,365,Cool,Low,200.0,"Salad, Reduction"
Canned Tomatoes,Vegetarian,can,365,Dry,Low,50.0,"Sauce, Soup"
Tuna,Non-Vegetarian,can,365,Dry,Low,100.0,"Salad, Sandwich"
Chicken Broth,Non-Vegetarian,liter,365,Cool,Low,80.0,"Soup, Rice"
Mustard,Vegetarian,bottle,365,Cool,Low,50.0,"Sandwich, Sauce"
Ketchup,Vegetarian,bottle,365,Cool,Low,40.0,"Fry, Burger"
Baking Powder,Vegetarian,kg,365,Dry,Low,100.0,"Cakes, Biscuits"
Yeast,Vegetarian,kg,365,Dry,Low,200.0,"Bread, Pizza"
Lemons,Vegetarian,kg,14,Cool,Medium,60.0,"Juice, Marinade"
Black Beans,Vegetarian,kg,365,Dry,Low,100.0,"Chili, Salad"
Red Lentils,Vegetarian,kg,365,Dry,Low,80.0,"Dal, Soup"
Almonds,Vegetarian,kg,365,Dry,Low,500.0,"Dessert, Snack"
Walnuts,Vegetarian,kg,365,Dry,Low,600.0,"Salad, Dessert"
Peppercorns,Vegetarian,kg,365,Dry,Low,300.0,"Grind, Curry"
Oregano,Vegetarian,kg,365,Dry,Low,200.0,"Pizza, Pasta"
Basil,Vegetarian,kg,365,Dry,Low,150.0,"Pesto, Salad"
Thyme,Vegetarian,kg,365,Dry,Low,150.0,"Soup, Roast"
Rosemary,Vegetarian,kg,365,Dry,Low,150.0,"Roast, Bread"
Garlic Powder,Vegetarian,kg,365,Dry,Low,100.0,"Seasoning, Rub"
Chili Flakes,Vegetarian,kg,365,Dry,Low,100.0,"Pizza, Stir Fry"
Smoked Paprika,Vegetarian,kg,365,Dry,Low,150.0,"BBQ, Stew"
Cinnamon,Vegetarian,kg,365,Dry,Low,200.0,"Dessert, Curry"
Bay Leaves,Vegetarian,kg,365,Dry,Low,100.0,"Soup, Stew"
Coconut Milk,Vegetarian,liter,365,Cool,Low,100.0,"Curry, Dessert"
Miso Paste,Vegetarian,kg,180,Fridge,Low,200.0,"Soup, Marinade"
Edamame,Vegetarian,kg,365,Freezer,Low,150.0,"Stir Fry, Salad"
Poultry,Non-Vegetarian,kg,3,Fridge,High,250.0,"Roast, Fry"
Beef,Non-Vegetarian,kg,3,Fridge,High,400.0,"Steak, Curry"
Pork,Non-Vegetarian,kg,3,Fridge,High,350.0,"Roast, Ribs"
Shellfish,Non-Vegetarian,kg,1,Fridge,High,400.0,"Boil, Grill"
Salmon,Non-Vegetarian,kg,2,Fridge,High,600.0,"Grill, Smoke"
Clams,Non-Vegetarian,kg,1,Fridge,High,300.0,"Clam Chowder, Pasta"
Couscous,Vegetarian,kg,365,Dry,Low,100.0,"Salad, Side"
Farro,Vegetarian,kg,365,Dry,Low,150.0,"Salad, Soup"
Barley,Vegetarian,kg,365,Dry,Low,80.0,"Soup, Pilaf"
Sesame Seeds,Vegetarian,kg,365,Dry,Low,200.0,"Topping, Tahini"
Flax Seeds,Vegetarian,kg,365,Dry,Low,150.0,"Baking, Smoothie"
Raisins,Vegetarian,kg,365,Dry,Low,150.0,"Dessert, Rice"
Dates,Vegetarian,kg,365,Cool,Low,200.0,"Dessert, Energy Bar"
Nutritional Yeast,Vegetarian,kg,365,Dry,Low,300.0,"Popcorn, Pasta"
Tomato Paste,Vegetarian,can,365,Dry,Low,30.0,"Sauce, Stew"
Jackfruit,Vegetarian,can,365,Dry,Low,100.0,"Pull Apart, Curry"
Kalamata Olives,Vegetarian,kg,180,Cool,Low,300.0,"Salad, Tapas"
Maple Syrup,Vegetarian,liter,365,Cool,Low,500.0,"Pancakes, Dessert"
Kimchi,Vegetarian,kg,30,Fridge,Medium,150.0,"Side, Stew"
Green Peas,Vegetarian,kg,365,Freezer,Low,80.0,"Stir Fry, Soup"
Corn Kernels,Vegetarian,kg,365,Freezer,Low,50.0,"Salad, Fry"
Mutton,Non-Vegetarian,kg,2,Fridge,High,500.0,"Rogan Josh, Biryani"
Lamb,Non-Vegetarian,kg,2,Fridge,High,600.0,"Korma, Chops"
Cod,Non-Vegetarian,kg,2,Fridge,High,400.0,"Fry, Bake"
Arborio Rice,Vegetarian,kg,365,Dry,Low,150.0,Risotto
Tahini,Vegetarian,kg,180,Cool,Low,200.0,"Hummus, Dressing"
Sunflower Seeds,Vegetarian,kg,365,Dry,Low,150.0,"Salad, Baking"
Hemp Seeds,Vegetarian,kg,365,Dry,Low,400.0,"Smoothie, Topping"
Pumpkin Seeds,Vegetarian,kg,365,Dry,Low,250.0,"Snack, Salad"
Dried Mushrooms,Vegetarian,kg,365,Dry,Low,500.0,"Soup, Risotto"
Truffle Oil,Vegetarian,liter,365,Cool,Low,1000.0,"Pasta, Drizzle"
Liquid Smoke,Vegetarian,bottle,365,Cool,Low,200.0,"BBQ, Marinade"
Arrowroot Powder,Vegetarian,kg,365,Dry,Low,150.0,"Thickener, Baking"
Gnocchi,Vegetarian,kg,30,Fridge,Medium,100.0,Pasta Dish
Soba Noodles,Vegetarian,kg,365,Dry,Low,150.0,"Stir Fry, Soup"
Wheatberries,Vegetarian,kg,365,Dry,Low,100.0,"Salad, Pilaf"
Yellow Split Peas,Vegetarian,kg,365,Dry,Low,70.0,"Soup, Dal"
Black Eyed Peas,Vegetarian,kg,365,Dry,Low,80.0,"Curry, Salad"
Cannellini Beans,Vegetarian,kg,365,Dry,Low,90.0,"Soup, Stew"
Puy Lentils,Vegetarian,kg,365,Dry,Low,150.0,"Salad, Side"
Brown Rice,Vegetarian,kg,365,Dry,Low,60.0,"Biryani, Pilaf"
Cashews,Vegetarian,kg,365,Dry,Low,600.0,"Curry, Snack"
Currants,Vegetarian,kg,365,Dry,Low,200.0,"Dessert, Bread"
Cranberries Dried,Vegetarian,kg,365,Dry,Low,300.0,"Salad, Trail Mix"
Mustard Powder,Vegetarian,kg,365,Dry,Low,100.0,"Sauce, Pickle"
Onion Powder,Vegetarian,kg,365,Dry,Low,100.0,"Seasoning, Rub"
Black Salt,Vegetarian,kg,730,Dry,Low,50.0,"Chaat, Raita"
Vegetable Broth Powder,Vegetarian,kg,365,Dry,Low,200.0,"Soup, Gravy"
Tamari,Vegetarian,liter,365,Cool,Low,150.0,"Stir Fry, Dip"
Rice Vinegar,Vegetarian,liter,365,Cool,Low,100.0,"Sushi, Pickle"
Kombu,Vegetarian,kg,365,Dry,Low,300.0,"Broth, Soup"
Wakame,Vegetarian,kg,365,Dry,Low,250.0,"Salad, Miso Soup"
Roasted Red Peppers,Vegetarian,jar,365,Cool,Low,100.0,"Sandwich, Antipasti"
Sundried Tomatoes,Vegetarian,kg,365,Dry,Low,400.0,"Pasta, Salad"
Lemon Juice,Vegetarian,liter,30,Fridge,Medium,50.0,"Dressing, Marinade"
Lime Juice,Vegetarian,liter,30,Fridge,Medium,60.0,"Guacamole, Ceviche"
Active Dry Yeast,Vegetarian,kg,365,Dry,Low,200.0,"Bread, Rolls"
Mixed Vegetables Frozen,Vegetarian,kg,365,Freezer,Low,60.0,"Stir Fry, Soup"
Potato Wedges Frozen,Vegetarian,kg,365,Freezer,Low,50.0,"Fry, Side"
Worcestershire Sauce,Non-Vegetarian,bottle,365,Cool,Low,100.0,"Steak, Bloody Mary"
Hot Sauce,Vegetarian,bottle,365,Cool,Low,80.0,"Tacos, Wings"
Canola Oil,Vegetarian,liter,365,Cool,Low,100.0,"Fry, Bake"
Sesame Oil,Vegetarian,liter,365,Cool,Low,200.0,"Stir Fry, Dressing"
White Wine Vinegar,Vegetarian,liter,365,Cool,Low,80.0,"Pickle, Vinaigrette"
Apple Cider Vinegar,Vegetarian,liter,365,Cool,Low,70.0,"Salad, Health Drink"
Brown Sugar,Vegetarian,kg,730,Dry,Low,50.0,"Baking, BBQ"
Paprika,Vegetarian,kg,365,Dry,Low,100.0,"Seasoning, Goulash"
Gelatin,Non-Vegetarian,kg,365,Dry,Low,200.0,"Dessert, Aspic"
Lecithin,Vegetarian,kg,365,Dry,Low,150.0,"Chocolate, Emulsifier"
Xanthan Gum,Vegetarian,kg,365,Dry,Low,500.0,"Thickener, Gluten Free"
Guar Gum,Vegetarian,kg,365,Dry,Low,200.0,"Ice Cream, Sauce"
Pectin,Vegetarian,kg,365,Dry,Low,300.0,"Jam, Jelly"
Citric Acid,Vegetarian,kg,365,Dry,Low,100.0,"Preservative, Drink"
Baking Soda,Vegetarian,kg,730,Dry,Low,50.0,"Baking, Cleaning"
Monosodium Glutamate,Vegetarian,kg,365,Dry,Low,100.0,"Stir Fry, Soup"
Vanilla Extract,Vegetarian,liter,730,Cool,Low,500.0,"Dessert, Baking"
Ascorbic Acid,Vegetarian,kg,365,Dry,Low,200.0,"Preservative, Dough"
